Individual,Coverage,Name,IID,Population,Date.mean.in.BP.in.years.before.1950.CE..OxCal.mu.for.a.direct.radiocarbon.date..and.average.of.range.for.a.contextual.date.,Country,Lat.,Long.,Coverage..X.,Study,UDG,Data.source,color
SRA62_Original,Original,SRA62,SRA62,European Mesolithic,6001,Ireland,54.29699,-8.33599,12.957,cassidy_2020,Y,Shotgun,#7e5920ff
SRA62_ImputedOC,ImputedOC,SRA62,SRA62,European Mesolithic,6001,Ireland,54.29699,-8.33599,12.957,cassidy_2020,Y,Shotgun,#7e5920ff
Stuttgart_0.0625X,0.0625X,Stuttgart,LBK,European Neolithic,7168,Germany,48.78,9.18,14.4222,lazaridis_2014,Y,Shotgun,#8d2962ff
Stuttgart_0.5X,0.5X,Stuttgart,LBK,European Neolithic,7168,Germany,48.78,9.18,14.4222,lazaridis_2014,Y,Shotgun,#8d2962ff
Stuttgart_1X,1X,Stuttgart,LBK,European Neolithic,7168,Germany,48.78,9.18,14.4222,lazaridis_2014,Y,Shotgun,#8d2962ff
Stuttgart_2X,2X,Stuttgart,LBK,European Neolithic,7168,Germany,48.78,9.18,14.4222,lazaridis_2014,Y,Shotgun,#8d2962ff
Stuttgart_Original,Original,Stuttgart,LBK,European Neolithic,7168,Germany,48.78,9.18,14.4222,lazaridis_2014,Y,Shotgun,#8d2962ff
Stuttgart_ImputedOC,ImputedOC,Stuttgart,LBK,European Neolithic,7168,Germany,48.78,9.18,14.4222,lazaridis_2014,Y,Shotgun,#8d2962ff
USR1_0.0625X,0.0625X,USR1,USR1,Ancient Berinigian,11425,USA,64.22,-145.7,15.3151,moreno-meyer_2018A_beringia,Y,Shotgun,#ffa737ff
USR1_0.5X,0.5X,USR1,USR1,Ancient Berinigian,11425,USA,64.22,-145.7,15.3151,moreno-meyer_2018A_beringia,Y,Shotgun,#ffa737ff
USR1_1X,1X,USR1,USR1,Ancient Berinigian,11425,USA,64.22,-145.7,15.3151,moreno-meyer_2018A_beringia,Y,Shotgun,#ffa737ff
USR1_2X,2X,USR1,USR1,Ancient Berinigian,11425,USA,64.22,-145.7,15.3151,moreno-meyer_2018A_beringia,Y,Shotgun,#ffa737ff
USR1_Original,Original,USR1,USR1,Ancient Berinigian,11425,USA,64.22,-145.7,15.3151,moreno-meyer_2018A_beringia,Y,Shotgun,#ffa737ff
USR1_ImputedOC,ImputedOC,USR1,USR1,Ancient Berinigian,11425,USA,64.22,-145.7,15.3151,moreno-meyer_2018A_beringia,Y,Shotgun,#ffa737ff
Ust_Ishim_0.0625X,0.0625X,Ust_Ishim,UstIshim,Pre-LGM Eurasian,44366,Russia,57.7,71.1,33.4629,fu_2014,Y,Shotgun,#ed217cff
Ust_Ishim_0.5X,0.5X,Ust_Ishim,UstIshim,Pre-LGM Eurasian,44366,Russia,57.7,71.1,33.4629,fu_2014,Y,Shotgun,#ed217cff
Ust_Ishim_1X,1X,Ust_Ishim,UstIshim,Pre-LGM Eurasian,44366,Russia,57.7,71.1,33.4629,fu_2014,Y,Shotgun,#ed217cff
Ust_Ishim_2X,2X,Ust_Ishim,UstIshim,Pre-LGM Eurasian,44366,Russia,57.7,71.1,33.4629,fu_2014,Y,Shotgun,#ed217cff
Ust_Ishim_Original,Original,Ust_Ishim,UstIshim,Pre-LGM Eurasian,44366,Russia,57.7,71.1,33.4629,fu_2014,Y,Shotgun,#ed217cff
Ust_Ishim_ImputedOC,ImputedOC,Ust_Ishim,UstIshim,Pre-LGM Eurasian,44366,Russia,57.7,71.1,33.4629,fu_2014,Y,Shotgun,#ed217cff
WC1_0.0625X,0.0625X,WC1,WC1,Iranian Neolithic,9214,Iran,34.6129,47.1057,10.0661,broushaki_2016,N,Shotgun,#008d00
WC1_0.5X,0.5X,WC1,WC1,Iranian Neolithic,9214,Iran,34.6129,47.1057,10.0661,broushaki_2016,N,Shotgun,#008d00
WC1_1X,1X,WC1,WC1,Iranian Neolithic,9214,Iran,34.6129,47.1057,10.0661,broushaki_2016,N,Shotgun,#008d00
WC1_2X,2X,WC1,WC1,Iranian Neolithic,9214,Iran,34.6129,47.1057,10.0661,broushaki_2016,N,Shotgun,#008d00
WC1_Original,Original,WC1,WC1,Iranian Neolithic,9214,Iran,34.6129,47.1057,10.0661,broushaki_2016,N,Shotgun,#008d00
WC1_ImputedOC,ImputedOC,WC1,WC1,Iranian Neolithic,9214,Iran,34.6129,47.1057,10.0661,broushaki_2016,N,Shotgun,#008d00
Yamnaya_0.0625X,0.0625X,Yamnaya,Yamnaya,Steppe,4890,,49.13422,75.85182,24.6828,damgaard_2018B_horseherder,N,Shotgun,#1b998bff
Yamnaya_0.5X,0.5X,Yamnaya,Yamnaya,Steppe,4890,,49.13422,75.85182,24.6828,damgaard_2018B_horseherder,N,Shotgun,#1b998bff
