Coverage,Sample,KHV,JPT,CDX,CHS,CHB,BEB,GIH,ITU,STU,PJL,CEU,GBR,TSI,IBS,FIN
2X,KK1,0.05390455810041401,0.0523088988827241,0.05291706176857309,0.053972023129325655,0.05495043982946319,0.06766249502569745,0.06552845272550917,0.07184816898476665,0.07180938198985219,0.06786505887584367,0.07365416300619781,0.07692156201376303,0.0781275027404448,0.08055420582114774,0.07797602710627721
2X,Loschbour,0.052359122594396956,0.052508660352610745,0.05233061222825215,0.05129259554800374,0.052653146664739386,0.056200811260622076,0.05549870151443771,0.06146648537838051,0.060805786361419534,0.05613982610475769,0.09179100052667763,0.09273123381380778,0.09157407630203834,0.0836383192716663,0.08900962207818942
2X,sf12,0.0533311224064601,0.05376414347429894,0.051960620936196224,0.05314337334057415,0.052347342675678324,0.06058979637102429,0.060602620256481686,0.06520170379337664,0.06618252704821914,0.05931710691479585,0.08517609011917827,0.08864547339523103,0.08851834726448268,0.07894543708812525,0.08227429491587741
2X,SRA62,0.05035462750396181,0.04974705921388178,0.05136830707845213,0.05067780255645543,0.050494954196167695,0.057035146664139814,0.058548657171135235,0.06191398663083035,0.06257024508215994,0.05828661294076448,0.09193693876721823,0.0932940542593146,0.09055170408978641,0.08485843718662366,0.0883614666591083
2X,2H10,0.05110612487304071,0.05038730660465214,0.05103272056504627,0.05131486968762072,0.05155689512660135,0.058996820484985245,0.05762091181330474,0.06037165869198279,0.06359579082018786,0.05709094241609118,0.08498347990836483,0.08830178700810849,0.08965324192972571,0.09220630886651542,0.09178114120377263
2X,2H11,0.04775769857677109,0.04820044959242189,0.047237639425972394,0.04739179209037201,0.04859754561896556,0.059854709520402456,0.057987796494818666,0.06361065622599398,0.06291615617827191,0.05808800510837825,0.0896244009572666,0.09410087721348599,0.09262399041793339,0.08874384152884762,0.09326444105009828
2X,atp016,0.04535227410220322,0.04825441593370662,0.047513742071960435,0.049210331527642336,0.04832839484475199,0.06222564783562948,0.0586423247960386,0.06556825477924312,0.06696671329685923,0.061676038427233466,0.08450158137720887,0.08925640146741654,0.08839328125998551,0.09192239125668364,0.0921882070234371
2X,BA64,0.051869440860315745,0.05092544174630781,0.0497685132786511,0.052502736856343074,0.05138162139837854,0.05857979448342333,0.05711089325497197,0.06306457864826141,0.06282017781923295,0.0581487567591368,0.08436963384459825,0.08932239186319199,0.08674572670044145,0.09060147702048264,0.0927888154662629
2X,JP14,0.051566675139122144,0.05126537029966867,0.04934608073527384,0.0518380648178861,0.05051643654646938,0.06047914840921817,0.058089258220745246,0.06272009357630239,0.06473103464537316,0.05885916150964834,0.08626106347770338,0.08806792420322436,0.08785223787122903,0.08965356729843434,0.08875388324970135
2X,NE1,0.04756580611119727,0.04793540248939587,0.045851755433513657,0.04862121645116675,0.047448320549670936,0.060005376268404846,0.05771393626822496,0.0657063751761324,0.06580643706478789,0.0604910256907264,0.08288272801366603,0.09138036510270062,0.08968309412452788,0.09656967680447781,0.09233848445140666
2X,PB675,0.04841430150660158,0.04943249156391188,0.048325168431673775,0.04891763536204976,0.04932114427117238,0.05968198518775571,0.0579308767959051,0.06329491982731038,0.06531470758827822,0.059854579594971785,0.08449265971826986,0.09020812203220306,0.08945403716388949,0.09190360988294365,0.09345376107306336
2X,Stuttgart,0.053653745771283436,0.05315274691637411,0.05374523088883584,0.05319105592213437,0.05351156982183401,0.05638500773008359,0.054370106825496436,0.060454142319407884,0.06186922024348594,0.05769954902659471,0.08362522593874086,0.09024720885053535,0.08503623296839415,0.0929134002566699,0.09014555652012927
2X,WC1,0.05367941086395289,0.057670679196956176,0.05324844771564048,0.05546246071411981,0.05667344541205007,0.06801751633396096,0.06679590580559626,0.0721294647369635,0.07106184852666969,0.06702539793759033,0.07598908900539791,0.0756227978731372,0.07427350614800445,0.07822764548844209,0.07412238424151826
2X,Ust_Ishim,0.0664329968127669,0.0653768381733459,0.06531597745369254,0.06557981893250059,0.06626056318279044,0.06621542009841706,0.06705979268947239,0.06449693382698857,0.06734538540225536,0.06565141756770264,0.06715751877157715,0.06809924532923871,0.06991039086872042,0.06803084843725095,0.06706685245328033
